grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_conf_interval_90,thput_conf_interval_90_ratio,thput_sample_needed,total_rtt_sample,rtt_sample,rtt_sample_ratio,rtt_avg,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100,rtt_conf_interval_90,rtt_conf_interval_90_ratio,rtt_sample_needed
-86.167,39.7545,217,850,518,174300,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,66,5,0.07575757575757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7545,274,5110,None,None,217,850,None,None,None,None,None,None,None,None,None,None,LTE,66,14,0.21212121212121213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,52,850,220,174270,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,1959,36,0.018376722817764167,402,36,0.08955223880597014,46.024742222222216,24.803970777259646,0.0,17.27328,30.37332,37.5712,71.07248,77.26632,83.4296,6.8004219880986865,0.14775578655637153,78.59438085921127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,52,850,None,None,274,5110,None,None,None,None,None,None,None,None,None,None,LTE,1959,22,0.011230219499744768,402,22,0.05472636815920398,40.93251636363636,5.588626923469863,33.8448,35.829407999999994,36.7376,39.3296,44.0158,48.943152000000005,53.863519999999994,1.9600162885036025,0.047884089780633236,5.044349319063437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,52,850,None,None,76,5330,226,66486,169,66936,None,None,None,None,None,None,LTE,1959,192,0.09800918836140889,402,75,0.1865671641791045,71.34576853333333,45.52338153168281,0.0,1.7770880000000004,18.0528,86.84751999999999,106.51535999999999,124.30937599999999,137.08944,8.647086135392167,0.12119970550674182,110.17026461190709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,168,850,327,2259995,None,None,None,None,None,None,327,2261661,327,2263327,327,2264993,LTE+MW,1959,81,0.04134762633996937,402,7,0.017412935323383085,47.747977142857145,7.633247771700016,36.9888,38.050368,42.6716,48.6688,50.85928,55.289152,61.516479999999994,4.745983695419203,0.09939653948521625,6.9157704431453055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,168,850,None,None,456,52740,457,52941,458,53139,None,None,None,None,None,None,LTE,1959,77,0.039305768249106685,402,11,0.02736318407960199,25.196712727272722,4.3073275190436515,15.31104,20.64064,23.36872,26.08048,27.73952,29.39312,31.680959999999995,2.136374843917011,0.08478783986788149,7.907875568407663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,168,850,None,None,456,52740,None,None,None,None,None,None,None,None,None,None,LTE,1959,124,0.06329760081674324,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,168,850,None,None,457,52941,None,None,None,None,None,None,None,None,None,None,LTE,1959,110,0.05615109749872384,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,168,850,None,None,458,53139,None,None,None,None,None,None,None,None,None,None,LTE,1959,85,0.043389484430832057,402,3,0.007462686567164179,10.998986666666667,13.256366364574504,0.0,0.670144,1.6753599999999997,3.3507199999999995,16.49848,24.387136,29.64624,12.590117203509278,1.1446615570200356,393.07502403585954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,168,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,1959,20,0.010209290454313425,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,169,66936,337,174300,232,66486,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,1959,128,0.06533945890760592,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,217,850,337,174300,307,66661,169,66936,None,None,None,None,None,None,None,None,LTE+Sub6,1959,6,0.0030627871362940277,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,217,850,337,174300,307,66661,232,66486,None,None,None,None,None,None,None,None,LTE+Sub6,1959,18,0.009188361408882083,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,217,850,518,174300,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,1959,24,0.01225114854517611,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,217,850,None,None,76,5330,232,66486,169,66936,None,None,None,None,None,None,LTE,1959,13,0.006636038795303726,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,217,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,1959,30,0.015313935681470138,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,224,9820,220,174270,221,850,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,1959,17,0.008677896886166412,402,17,0.04228855721393035,25.426494117647056,8.23570499765864,0.0,18.947775999999998,22.584,26.72336,30.367839999999998,32.69311999999999,38.89504,3.285808308420173,0.1292277375408859,28.38967385489135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,224,9820,None,None,428,5330,244,66486,73,66661,None,None,None,None,None,None,LTE,1959,107,0.05461970393057682,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,232,66486,220,174270,298,850,169,66936,None,None,None,None,None,None,None,None,LTE+Sub6,1959,23,0.01174068402246044,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,232,66486,337,174300,169,66936,307,66661,None,None,None,None,None,None,None,None,LTE+Sub6,1959,28,0.014293006636038795,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,232,66486,337,174300,169,66936,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,1959,30,0.015313935681470138,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,232,66486,337,174300,298,850,169,66936,None,None,None,None,None,None,None,None,LTE+Sub6,1959,122,0.062276671771311895,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,232,66486,None,None,298,850,76,5330,169,66936,None,None,None,None,None,None,LTE,1959,49,0.025012761613067893,402,13,0.03233830845771144,16.299692307692307,2.124790043036483,11.573759999999998,14.788640000000001,15.045599999999999,15.707040000000001,17.60832,18.522368,20.380639999999996,0.9694161457585194,0.0594745058654281,4.598381902317893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,238,9820,None,None,76,5330,232,66486,169,66936,None,None,None,None,None,None,LTE,1959,52,0.026544155181214904,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,274,5110,None,None,217,850,None,None,None,None,None,None,None,None,None,None,LTE,1959,30,0.015313935681470138,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,274,5110,None,None,298,850,232,66486,169,66936,None,None,None,None,None,None,LTE,1959,40,0.02041858090862685,402,21,0.05223880597014925,32.574727619047614,29.704904382471106,0.0,2.1652799999999996,8.21616,10.85648,66.92367999999999,71.47616,76.24368,10.66312287278778,0.3273434239417145,225.0228061155586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,298,850,337,174300,169,66936,232,66486,None,None,None,None,None,None,None,None,LTE+Sub6,1959,11,0.005615109749872384,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,298,850,None,None,76,5330,232,66486,169,66936,None,None,None,None,None,None,LTE,1959,396,0.20214395099540583,402,129,0.3208955223880597,36.92505426356589,16.715853665031357,0.0,22.600735999999998,26.72016,32.36416,42.4232,64.302944,88.48575999999998,2.421026859793563,0.06556596620041803,55.45575741694723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,307,66661,None,None,298,850,76,5330,169,66936,None,None,None,None,None,None,LTE,1959,4,0.002041858090862685,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,363,850,None,None,11,52740,None,None,None,None,None,None,None,None,None,None,LTE,1959,10,0.005104645227156712,402,10,0.024875621890547265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,168,850,None,None,456,52740,None,None,None,None,None,None,None,None,None,None,LTE,1959,8,0.00408371618172537,402,8,0.01990049751243781,12.0246,10.926320493121185,0.0,0.0,1.2565199999999999,14.04256,15.78228,21.570863999999993,34.78944,6.354696945850155,0.5284747056742142,223.4284116299578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,217,850,None,None,76,5330,232,66486,169,66936,None,None,None,None,None,None,LTE,1959,16,0.00816743236345074,402,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,298,850,None,None,76,5330,232,66486,169,66936,None,None,None,None,None,None,LTE,1959,50,0.025523226135783564,402,50,0.12437810945273632,35.695519999999995,13.609029799858622,0.0,20.882192,27.658199999999997,32.11032,45.24012,55.864032,66.72496,3.165979257503596,0.08869402259733423,39.33314822248217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,52,850,220,174270,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,4926,40,0.008120178643930167,1220,40,0.03278688524590164,68.16807200000001,14.585757229371945,0.0,56.679615999999996,62.223639999999996,68.13615999999999,76.36607999999998,84.055248,92.05552,3.7937166214935223,0.05565239723214589,12.388757270738239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,52,850,337,174270,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,4926,8,0.0016240357287860333,1220,8,0.006557377049180328,7.4208,7.491140751153991,0.0,0.0,0.63996,4.88256,12.96748,18.732447999999998,19.064639999999997,4.356812458710286,0.587108190317794,275.75682171058816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,52,850,None,None,274,5110,None,None,None,None,None,None,None,None,None,None,LTE,4926,92,0.01867641088103938,1220,92,0.07540983606557378,33.576038260869566,11.465047094177969,0.0,21.13056,27.32848,34.63896,40.390119999999996,44.099008,58.35072,1.9662911820654636,0.058562334447808666,31.551832546988372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,52,850,None,None,76,5330,226,66486,169,66936,None,None,None,None,None,None,LTE,4926,349,0.0708485586682907,1220,150,0.12295081967213115,81.68014826666666,43.353445935669946,0.0,13.906607999999999,49.181920000000005,90.59056,120.31111999999999,129.657568,157.09328,5.822961192166118,0.07128979704046944,76.23352743106985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,52,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,4926,8,0.0016240357287860333,1220,8,0.006557377049180328,14.401219999999999,14.491446848717349,0.0,3.0397920000000003,4.568879999999999,7.5984,20.04052,38.565135999999995,38.60736,8.428157776304449,0.585239151704123,274.0038917498892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,168,850,327,2259995,None,None,None,None,None,None,327,2261661,327,2263327,327,2264993,LTE+MW,4926,421,0.08546488022736501,1220,113,0.09262295081967213,24.436007079646018,25.63127492358511,0.0,0.0,0.0,10.31472,49.693599999999996,60.746272,82.75872,3.9664034710405143,0.16231798665438804,297.72255534433526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,168,850,337,174270,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,4926,7,0.0014210312626877792,1220,7,0.005737704918032787,22.000182857142853,16.723139821755716,0.0,1.8462720000000001,5.25568,26.570399999999996,37.42136,40.111008,42.0768,10.397638240503763,0.47261599178608354,156.35611298436032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,168,850,None,None,456,52740,457,52941,458,53139,None,None,None,None,None,None,LTE,4926,421,0.08546488022736501,1220,21,0.01721311475409836,10.621737142857143,6.526585515529207,0.0,1.3028799999999998,5.15472,11.00624,15.227999999999998,19.532799999999998,22.88352,2.3428381521036727,0.22057014974044747,102.16750100869919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,168,850,None,None,456,52740,None,None,None,None,None,None,None,None,None,None,LTE,4926,347,0.07044254973609419,1220,29,0.023770491803278688,34.67103448275862,12.74104588426565,0.0,23.635616,31.372,34.023199999999996,42.29664,50.2192,56.90272,3.8919923958222338,0.11225486790011018,36.54335056508643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,168,850,None,None,457,52941,458,53139,None,None,None,None,None,None,None,None,LTE,4926,34,0.006902151847340642,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,168,850,None,None,457,52941,None,None,None,None,None,None,None,None,None,None,LTE,4926,521,0.10576532683719042,1220,147,0.12049180327868853,45.20893278911564,36.77789458734581,0.0,16.955071999999998,24.095439999999996,34.57984,50.290639999999996,103.84393600000006,178.68096,4.98992592495447,0.11037477810482242,179.08409713282515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,168,850,None,None,458,53139,None,None,None,None,None,None,None,None,None,None,LTE,4926,513,0.10414129110840438,1220,142,0.11639344262295082,51.09643605633803,28.51537867514658,0.0,16.456272,32.804359999999996,47.67048,68.29315999999999,87.43134400000001,131.31743999999998,3.936414957372925,0.07703893385113403,84.27696207065554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,168,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,4926,112,0.022736500203004467,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,169,66936,337,174300,232,66486,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,4926,114,0.023142509135200974,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,203,850,577,2259995,None,None,None,None,None,None,577,2261661,577,2263327,577,2264993,LTE+MW,4926,32,0.006496142915144133,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,203,850,None,None,292,52740,219,52941,100,53139,None,None,None,None,None,None,LTE,4926,7,0.0014210312626877792,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,203,850,None,None,292,52740,None,None,None,None,None,None,None,None,None,None,LTE,4926,44,0.008932196508323184,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,217,850,269,174300,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,4926,20,0.004060089321965083,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,217,850,337,174300,307,66661,169,66936,None,None,None,None,None,None,None,None,LTE+Sub6,4926,6,0.001218026796589525,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,217,850,337,174300,307,66661,232,66486,None,None,None,None,None,None,None,None,LTE+Sub6,4926,45,0.009135200974421437,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,217,850,518,174300,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,4926,16,0.0032480714575720666,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,217,850,None,None,274,5110,None,None,None,None,None,None,None,None,None,None,LTE,4926,4,0.0008120178643930166,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,217,850,None,None,76,5330,232,66486,169,66936,None,None,None,None,None,None,LTE,4926,52,0.010556232237109216,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,217,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,4926,56,0.011368250101502234,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,224,9820,220,174270,221,850,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,4926,9,0.0018270401948842874,1220,9,0.007377049180327869,17.81374222222222,11.328114589111443,0.0,2.374784,6.128639999999999,21.62032,25.20544,28.552128000000003,35.26368,6.211582833029442,0.34869612210289197,109.43008701263543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,224,9820,None,None,428,5330,244,66486,73,66661,None,None,None,None,None,None,LTE,4926,157,0.0318717011774259,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,232,66486,220,174270,298,850,169,66936,None,None,None,None,None,None,None,None,LTE+Sub6,4926,33,0.006699147381242387,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,232,66486,337,174300,169,66936,307,66661,None,None,None,None,None,None,None,None,LTE+Sub6,4926,44,0.008932196508323184,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,232,66486,337,174300,169,66936,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,4926,63,0.012789281364190013,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,232,66486,337,174300,298,850,169,66936,None,None,None,None,None,None,None,None,LTE+Sub6,4926,295,0.05988631749898498,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,232,66486,None,None,298,850,76,5330,169,66936,None,None,None,None,None,None,LTE,4926,140,0.028420625253755584,1220,38,0.03114754098360656,19.238585263157887,11.375838837708148,0.0,11.695680000000001,13.030999999999999,14.835999999999999,20.28064,37.095744000000025,48.18288,3.0356908019184,0.15779178980128974,94.61334592903873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,238,9820,220,174270,52,850,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,4926,30,0.0060901339829476245,1220,30,0.02459016393442623,31.49098133333333,8.011520307661849,0.0,22.142192,28.790039999999998,33.78847999999999,36.85076,39.108112,40.751999999999995,2.406136231842056,0.076407153094818,17.514159132164874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,238,9820,None,None,76,5330,232,66486,169,66936,None,None,None,None,None,None,LTE,4926,163,0.03308972797401543,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,244,66486,220,174270,73,66661,224,9820,None,None,None,None,None,None,None,None,LTE+Sub6,4926,4,0.0008120178643930166,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,274,5110,None,None,217,850,None,None,None,None,None,None,None,None,None,None,LTE,4926,39,0.007917174177831911,1220,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,274,5110,None,None,298,850,232,66486,169,66936,None,None,None,None,None,None,LTE,4926,117,0.023751522533495738,1220,76,0.06229508196721312,49.13845052631579,38.80853154732556,0.0,7.58608,12.458039999999999,55.428799999999995,78.63768,104.07584,121.76592,7.322954170565624,0.14902696548487748,168.78867695639462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7555,298,850,None,None,76,5330,232,66486,169,66936,None,None,None,None,None,None,LTE,4926,301,0.0611043442955745,1220,105,0.0860655737704918,33.75555047619048,12.256485221380276,0.0,21.61808,27.938239999999997,31.708159999999996,40.09184,49.75292800000001,70.3792,1.9676017431593902,0.05828972466460711,35.6757660154949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
